update_date,non_comm_long,non_comm_short,non_comm_arb,comm_long,comm_short,open interest
2001/7/3,17218,37254,3358,51939,32440,83400
2001/7/10,16126,36606,3300,52157,33108,82215
2001/7/17,14969,35405,3423,50563,32973,81306
2001/7/24,15045,36629,3872,57299,35192,87232
2001/7/31,13972,31852,3629,53551,34586,82429
2001/8/7,13578,32471,4343,54978,36366,85544
2001/8/14,14227,31665,4285,56009,37909,87461
2001/8/21,12856,30617,6101,56755,41086,89888
2001/8/28,11412,26183,8853,57409,46442,92904
2001/9/4,13232,27318,6646,58977,46149,92144
2001/9/10,14023,32145,5497,58080,40150,88352
2001/9/18,14332,32405,5044,56723,38326,87219
2001/9/25,14110,33743,4734,56711,36803,84591
2001/10/2,14549,35912,4510,53285,31790,82976
2001/10/9,13634,35555,4781,55373,32577,84437
2001/10/16,13715,38988,4462,58660,33504,88101
2001/10/23,13229,38366,4754,60987,36550,91054
2001/10/30,13306,38684,5061,61952,36923,92381
2001/11/6,13037,39806,5213,64386,38604,94528
2001/11/13,9545,22245,5174,57829,47545,85025
2001/11/20,9592,12792,4913,55668,55335,83020
2001/11/27,10422,9727,3398,53147,56654,79747
2001/12/4,15150,8015,4147,34727,46190,65314
2001/12/11,11560,5601,3440,42012,51640,68574
2001/12/18,10516,7183,3221,45066,51480,70148
2001/12/21,10180,8273,2962,46404,51512,71175
2001/12/28,9938,8251,3037,47221,51208,71408
2002/1/8,10988,6116,2168,44074,52806,69948
2002/1/15,12673,4886,2111,42795,54607,71302
2002/1/22,13873,6055,2495,43375,58722,72878
2002/1/29,13529,5830,2655,45759,60297,74988
2002/2/5,20516,7425,3688,40164,62319,78088
2002/2/12,22544,7463,4644,39821,64550,81644
2002/2/19,21408,6525,4532,42445,64336,81693
2002/2/26,13078,6083,3025,46393,59642,76182
2002/3/5,15424,4984,2291,43269,61067,74046
2002/3/12,20241,5524,2690,42042,64290,77432
2002/3/19,26702,5492,3659,38848,68679,82980
2002/3/26,24000,5604,3319,41354,67447,81357
2002/4/2,27768,6331,3454,35763,66418,80802
2002/4/9,15406,5538,3129,43187,60057,74042
2002/4/16,16250,8002,2611,45491,60743,75582
2002/4/23,16931,5685,2405,43313,62429,74624
2002/4/30,15110,4835,1998,42152,59039,69769
2002/5/7,14418,10072,1820,46492,56109,73731
2002/5/14,15529,3824,1867,44796,63550,74175
2002/5/21,13578,5179,1425,47647,61995,73118
2002/5/28,19731,3600,1385,44498,68502,76389
2002/6/4,31086,4576,2391,34533,71128,81994
2002/6/11,37824,4548,2918,31893,74853,86641
2002/6/18,32743,4542,2750,35342,73547,84625
2002/6/25,21024,2969,1633,38772,64881,73382
2002/7/2,26678,3569,1253,33157,64810,73330
2002/7/9,25326,2555,1557,36684,68037,75801
2002/7/16,18428,6838,1283,42639,60969,74251
2002/7/23,19593,21866,1415,59664,60334,91727
2002/7/30,18738,26892,2552,62520,58549,95907
2002/8/6,18345,30124,3768,61714,53530,95720
2002/8/13,18437,34377,4571,69687,57233,105236
2002/8/20,18309,35704,4536,69791,57610,106340
2002/8/27,16598,34522,4037,69657,57675,104704
2002/9/3,16813,36108,3446,63883,48746,97873
2002/9/10,14717,29154,4157,65161,56654,96861
2002/9/17,13052,24417,4379,63996,58375,94279
2002/9/24,12968,29665,4105,70406,58215,100388
2002/10/1,14261,34869,4738,71956,55970,104452
2002/10/8,14981,36280,5077,72194,55391,106244
2002/10/15,14731,35019,4907,70980,57115,105137
2002/10/22,13410,20313,3271,62323,64882,94847
2002/10/29,15697,10204,2499,54929,71681,90078
2002/11/5,25876,11024,2555,45950,73627,91462
2002/11/12,27431,9913,2189,43591,73546,91047
2002/11/19,27956,9453,2295,41186,71461,87840
2002/11/26,29382,7313,3244,37372,71638,86622
2002/12/3,33633,6739,2488,32926,72811,85370
2002/12/10,31431,4194,2607,32696,71387,81384
2002/12/17,25867,2912,2716,34316,67628,76375
2002/12/23,19627,4431,2005,38441,62512,72661
2002/12/31,17089,15929,2677,49447,56230,80174
2003/1/7,14802,10826,2417,47859,59014,77457
2003/1/14,22746,7118,2245,41059,65773,78117
2003/1/21,28894,6959,3272,38147,68594,83902
2003/1/28,30367,7005,3097,37857,69076,84623
2003/2/4,34774,6394,3604,34797,72234,87596
2003/2/11,35265,5349,3276,33183,72410,86466
2003/2/14,30054,3527,3124,33793,68079,79835
2003/2/25,27250,4085,2354,34329,65655,75828
2003/3/4,35810,8348,3031,29191,65948,82299
2003/3/11,21629,5235,1570,32370,57738,68832
2003/3/18,20692,6817,1591,33796,55646,67739
2003/3/25,23457,5666,1620,34591,59718,71939
2003/4/1,20296,19403,2198,47010,52462,80064
2003/4/8,18534,24152,1891,52226,51410,83606
2003/4/15,17636,25744,1758,54243,51679,85346
2003/4/22,17230,27051,1550,56630,52451,87540
2003/4/29,17490,29167,1302,58562,52569,89551
2003/5/6,16713,31831,1452,50651,40805,81212
2003/5/13,14272,17190,3000,42513,47978,73710
2003/5/20,22202,14188,3592,38046,54382,77525
2003/5/27,26443,13595,3557,35524,57792,80038
2003/6/3,30717,12937,3106,33792,62105,84207
2003/6/10,31408,11623,3042,34227,62530,83001
2003/6/17,30095,11552,3591,32931,60672,80520
2003/6/24,30026,11297,2792,34670,62385,80818
2003/7/1,19765,11223,1874,40656,54442,72785
2003/7/8,20777,10992,1656,37504,55008,71369
2003/7/15,35422,11299,1597,31252,64890,82166
2003/7/22,34723,11218,2738,33092,65209,83451
2003/7/29,44149,13212,4779,33535,76528,98215
2003/8/5,48720,14103,5631,31092,77704,101260
2003/8/12,43450,12883,5842,31032,70851,94633
2003/8/19,42072,11748,6850,30167,70813,94011
2003/8/26,42156,12845,2981,32850,70926,93229
2003/9/2,44686,12893,1812,25262,66654,84781
2003/9/9,52607,15455,1217,24788,73333,94004
2003/9/16,49736,14742,1223,26185,70650,91181
2003/9/23,51711,16560,1370,26348,71661,94529
2003/9/30,48026,14030,2430,26376,69024,90622
2003/10/7,58295,18131,2128,24624,78519,101927
2003/10/14,67564,19182,1296,24141,85123,109627
2003/10/21,66810,18782,2947,25941,85635,111559
2003/10/28,62701,17523,4765,26137,83105,109796
2003/11/4,61294,16887,5015,25615,81610,109436
2003/11/11,60237,15988,5897,27028,82116,108854
2003/11/18,51436,16495,6106,28995,73915,102838
2003/11/25,41323,15474,2034,32845,67196,90652
2003/12/2,44855,16190,1989,30370,69002,91716
2003/12/9,41973,15852,1796,29528,66184,88432
2003/12/16,43176,15559,1851,30039,68718,90778
2003/12/22,43936,15530,1421,29842,70171,91634
2003/12/30,43735,17538,1421,28511,66937,89485
2004/1/6,46107,14838,873,28773,71023,90562
2004/1/13,45520,15176,1018,28214,71480,91442
2004/1/20,45097,15258,1571,26413,69740,90133
2004/1/27,42449,14469,1998,31454,73113,93722
2004/2/3,43330,15253,2609,28056,69792,91868
2004/2/10,39955,13267,2582,24506,64482,85340
2004/2/17,39352,10465,3832,26195,67300,87694
2004/2/24,35775,10242,4076,32372,68642,89394
2004/3/2,35198,11563,3060,28436,64039,84146
2004/3/9,28836,9063,2322,29074,57772,74980
2004/3/16,30131,10339,2626,29492,58842,77104
2004/3/23,29704,11122,2308,27401,54600,73595
2004/3/30,28782,14023,1662,30626,54119,82822
2004/4/6,25695,16486,2115,33285,49612,76267
2004/4/12,23915,16581,2544,33051,48222,74015
2004/4/20,26130,17356,4186,31506,46879,74361
2004/4/27,19379,11199,3847,34146,46644,69318
2004/5/4,17790,10488,3071,33866,44616,65438
2004/5/11,16246,9323,4088,32602,42645,63658
2004/5/18,15654,8562,4730,34067,42939,64357
2004/5/25,16609,8118,5406,34897,48448,68371
2004/6/1,20476,8370,4878,34062,51977,71536
2004/6/8,17890,8085,4305,33357,48390,67204
2004/6/15,12012,8149,4957,35861,42334,62719
2004/6/22,12669,9974,4186,39304,44193,66825
2004/6/29,11282,4784,2534,34296,44230,57873
2004/7/6,12326,4308,2606,32310,44345,58133
2004/7/13,21663,5368,2641,30237,52590,66740
2004/7/20,23978,5806,3226,29332,53903,69505
2004/7/27,19618,5028,3727,29960,49173,65605
2004/8/3,25103,8713,3145,29441,53097,71515
2004/8/10,19835,7447,3251,29770,48361,65598
2004/8/17,30518,11146,3132,29801,57087,78129
2004/8/24,22015,8463,2957,32210,51697,69773
2004/8/31,23031,7553,3510,33703,55889,73755
2004/9/7,21479,8833,3730,33281,52119,72214
2004/9/14,26351,11184,3670,31713,53405,75040
2004/9/21,34903,15386,5658,30637,58288,85631
2004/9/28,41210,17175,7180,30206,63190,93997
2004/10/5,45933,17686,7992,31222,67041,100292
2004/10/12,47018,17364,8085,33281,69614,103422
2004/10/19,20386,7107,6373,34250,54007,74501
2004/10/26,18391,6753,5497,35940,52891,72971
2004/11/2,18988,6827,5733,32607,49241,69692
2004/11/9,22239,7630,6222,33039,54440,75539
2004/11/16,25259,9220,7639,33666,56454,80861
2004/11/23,32589,7683,11191,35802,67272,93862
2004/11/30,36871,8609,12572,34493,69414,97637
2004/12/7,30004,6004,12462,34918,64879,90604
2004/12/14,25559,4949,9275,36117,62708,83533
2004/12/21,28721,5504,9529,34985,64693,86174
2004/12/28,33281,6758,10909,34586,68186,93230
2005/1/4,26545,6281,11211,35911,62023,87161
2005/1/11,23188,5116,10546,34815,59085,81259
2005/1/18,23417,5836,10604,34140,57434,81248
2005/1/25,27127,7247,13112,33376,59393,87458
2005/2/1,26801,9486,13148,34894,57507,88810
2005/2/8,23230,8412,11903,36340,55441,85163
2005/2/15,32781,12154,10846,35518,64287,95044
2005/2/22,44160,16442,13223,36408,70565,108804
2005/3/1,49255,16029,14176,34259,73780,112973
2005/3/8,52332,16243,15599,33924,76113,118035
2005/3/15,46771,15983,18297,34188,69853,114956
2005/3/22,47101,16870,22842,34197,68579,120517
2005/3/29,40691,15086,23770,34543,63062,114349
2005/4/5,43081,15554,24529,35825,66798,119690
2005/4/12,46134,17988,25485,41964,74093,132104
2005/4/19,32513,13873,22083,48053,69554,117163
2005/4/26,35217,12857,21876,44690,69374,116212
2005/5/3,34649,15269,19500,40641,60388,107401
2005/5/10,31653,14769,19813,40762,57550,104321
2005/5/17,20525,17204,15737,45046,48735,94172
2005/5/24,20094,16541,14966,44147,47335,91941
2005/5/31,23327,13835,14381,43076,52349,92253
2005/6/7,31621,13609,13710,40542,59079,99573
2005/6/14,36892,16080,12708,41424,62980,104947
2005/6/21,42701,19918,15448,38069,63875,112051
2005/6/28,41847,21136,16334,39069,62180,112939
2005/7/5,33523,20166,14839,39755,54135,102082
2005/7/12,36722,21641,16106,39043,55654,106406
2005/7/19,39644,22767,17077,38690,57185,111141
2005/7/26,42350,25531,17370,38700,56846,114252
2005/8/2,46210,28016,18049,38363,56950,117895
2005/8/9,44439,28075,15082,38976,54672,113439
2005/8/16,41269,26506,11162,39324,55100,105061
2005/8/23,38358,27496,10798,38837,50548,102608
2005/8/30,37291,27936,12956,40412,50927,104766
2005/9/6,38826,29059,12537,40126,51435,105839
2005/9/13,33734,27483,11015,40935,48211,99329
2005/9/20,34780,27885,11770,40430,48667,100852
2005/9/27,37483,28266,11902,41364,51799,104395
2005/10/4,40996,31475,10998,42715,53881,107932
2005/10/11,43167,32056,11360,42854,54438,111629
2005/10/18,38505,31179,11254,43435,52248,107427
2005/10/25,31662,30431,11079,44683,46877,102512
2005/11/1,31733,28506,14260,45842,48892,105650
2005/11/8,34052,28313,15138,46361,51941,109378
2005/11/15,36580,29053,16801,46031,54360,114189
2005/11/22,34901,28448,18379,45917,51581,113630
2005/11/29,33228,28016,17568,44190,48645,108347
