update_date,close
2012/10/3,88.14
2012/10/4,91.71
2012/10/5,89.88
2012/10/8,89.33
2012/10/9,92.39
2012/10/10,91.25
2012/10/11,92.07
2012/10/12,91.86
2012/10/15,91.85
2012/10/16,92.09
2012/10/17,92.12
2012/10/18,92.1
2012/10/19,90.05
2012/10/22,88.65
2012/10/23,86.67
2012/10/24,85.73
2012/10/25,86.05
2012/10/26,86.28
2012/10/29,85.54
2012/10/30,85.68
2012/10/31,86.24
2012/11/1,87.09
2012/11/2,84.86
2012/11/5,85.65
2012/11/6,88.71
2012/11/7,84.44
2012/11/8,85.09
2012/11/9,86.07
2012/11/12,85.57
2012/11/13,85.38
2012/11/14,86.32
2012/11/15,85.45
2012/11/16,86.92
2012/11/19,89.28
2012/11/20,86.75
2012/11/21,87.38
2012/11/22,87.18
2012/11/23,88.28
2012/11/26,87.74
2012/11/27,87.18
2012/11/28,86.49
2012/11/29,88.07
2012/11/30,88.91
2012/12/3,89.09
2012/12/4,88.5
2012/12/5,87.88
2012/12/6,86.26
2012/12/7,85.93
2012/12/10,85.56
2012/12/11,85.79
2012/12/12,86.77
2012/12/13,85.89
2012/12/14,86.73
2012/12/17,87.2
2012/12/18,87.93
2012/12/19,89.98
2012/12/20,90.13
2012/12/21,88.66
2012/12/24,88.61
2012/12/26,90.98
2012/12/27,90.87
2012/12/28,90.8
2012/12/31,91.88
2013/1/2,92.98
2013/1/3,92.81
2013/1/4,93.18
2013/1/7,93.31
2013/1/8,93.21
2013/1/9,93.1
2013/1/10,93.86
2013/1/11,93.76
2013/1/14,94.24
2013/1/15,93.36
2013/1/16,94.28
2013/1/17,95.07
2013/1/18,95.59
2013/1/21,95.9
2013/1/22,96.74
2013/1/23,95.5
2013/1/24,95.95
2013/1/25,95.99
2013/1/28,96.44
2013/1/29,97.4
2013/1/30,97.93
2013/1/31,97.43
2013/2/1,97.79
2013/2/4,96.16
2013/2/5,96.65
2013/2/6,96.9
2013/2/7,95.9
2013/2/8,95.78
2013/2/11,96.95
2013/2/12,97.48
2013/2/13,97.13
2013/2/14,97.4
2013/2/15,96.11
2013/2/18,95.57
2013/2/19,96.65
2013/2/20,94.58
2013/2/21,92.96
2013/2/22,93.3
2013/2/25,92.1
2013/2/26,92.78
2013/2/27,92.86
2013/2/28,91.76
2013/3/1,91
2013/3/4,90.25
2013/3/5,90.85
2013/3/6,90.38
2013/3/7,91.37
2013/3/8,91.94
2013/3/11,91.91
2013/3/12,92.65
2013/3/13,92.5
2013/3/14,93.1
2013/3/15,93.38
2013/3/18,93.81
2013/3/19,92.29
2013/3/20,93.39
2013/3/21,92.39
2013/3/22,93.71
2013/3/25,94.71
2013/3/26,96.15
2013/3/27,96.7
2013/3/28,97.03
2013/4/2,96.46
2013/4/3,94.42
2013/4/4,93.36
2013/4/5,92.78
2013/4/8,93.5
2013/4/9,93.99
2013/4/10,94.58
2013/4/11,93.48
2013/4/12,90.75
2013/4/15,87.53
2013/4/16,88.86
2013/4/17,86.36
2013/4/18,88.35
2013/4/19,88
2013/4/22,89.29
2013/4/23,89.18
2013/4/24,91.55
2013/4/25,93.23
2013/4/26,92.79
2013/4/29,94.29
2013/4/30,93
2013/5/1,90.97
2013/5/2,94.05
2013/5/3,95.61
2013/5/7,95.55
2013/5/8,96.57
2013/5/9,96.18
2013/5/10,95.9
2013/5/13,94.98
2013/5/14,94.25
2013/5/15,94.41
2013/5/16,95.21
2013/5/17,96
2013/5/20,96.98
2013/5/21,95.89
2013/5/22,94.13
2013/5/23,94.35
2013/5/24,93.9
2013/5/28,95.05
2013/5/29,92.89
2013/5/30,93.67
2013/5/31,91.6
2013/6/3,93.36
2013/6/4,93.8
2013/6/5,93.71
2013/6/6,94.69
2013/6/7,96.23
2013/6/10,95.77
2013/6/11,94.85
2013/6/12,95.74
2013/6/13,96.7
2013/6/14,97.8
2013/6/17,97.9
2013/6/18,98.65
2013/6/19,98.24
2013/6/20,94.98
2013/6/21,93.93
2013/6/24,94.92
2013/6/25,95.2
2013/6/26,95.45
2013/6/27,96.78
2013/6/28,96.45
2013/7/1,98.05
2013/7/2,99.6
2013/7/3,101.11
2013/7/4,101.12
2013/7/5,103.8
2013/7/8,103.05
2013/7/9,104.71
2013/7/10,106.1
2013/7/11,104.43
2013/7/12,106.23
2013/7/15,106.46
2013/7/16,105.8
2013/7/17,106.52
2013/7/18,108.21
2013/7/19,108.06
2013/7/22,106.99
2013/7/23,107.5
2013/7/24,105.33
2013/7/25,105.6
2013/7/26,104.65
2013/7/29,104.55
2013/7/30,103.14
2013/7/31,105.26
2013/8/1,107.88
2013/8/2,106.82
2013/8/5,106.5
2013/8/6,105.72
2013/8/7,104.24
2013/8/8,103.88
2013/8/9,106.07
2013/8/12,106.22
2013/8/13,106.56
2013/8/14,106.97
2013/8/15,107.33
2013/8/16,107.35
2013/8/19,107.2
2013/8/20,105.22
2013/8/21,103.78
2013/8/22,105.13
2013/8/23,106.36
2013/8/26,106.17
2013/8/27,109.26
2013/8/28,109.55
2013/8/29,108
2013/8/30,108.35
2013/9/2,106.65
2013/9/3,108.55
2013/9/4,107.28
2013/9/5,108.58
2013/9/6,110.09
2013/9/9,108.94
2013/9/10,107.25
2013/9/11,107.62
2013/9/12,108.77
2013/9/13,108.55
2013/9/16,106.28
2013/9/17,105.54
2013/9/18,108.35
2013/9/19,106.32
2013/9/20,104.8
2013/9/23,103.46
2013/9/24,103.45
2013/9/25,102.31
2013/9/26,102.9
2013/9/27,102.89
2013/9/30,102.31
2013/10/1,101.67
2013/10/2,103.85
2013/10/3,102.84
2013/10/4,103.69
2013/10/7,103.21
2013/10/8,103.57
2013/10/9,101.37
2013/10/10,102.87
2013/10/11,101.86
2013/10/14,102.15
2013/10/15,100.95
2013/10/16,102.11
2013/10/17,100.67
2013/10/18,100.8
2013/10/21,99.35
2013/10/22,98.11
2013/10/23,97.19
2013/10/24,97.12
2013/10/25,97.93
2013/10/28,98.51
2013/10/29,97.75
2013/10/30,96.58
2013/10/31,96.25
2013/11/1,94.66
2013/11/4,94.46
2013/11/5,93.73
2013/11/6,94.85
2013/11/7,94.35
2013/11/8,94.38
2013/11/11,95.14
2013/11/12,93.12
2013/11/13,93.88
2013/11/14,93.76
2013/11/15,93.84
2013/11/18,93.03
2013/11/19,93.33
2013/11/20,93.7
2013/11/21,95.23
2013/11/22,94.64
2013/11/25,94.16
2013/11/26,93.51
2013/11/27,92.43
2013/11/28,92.19
2013/11/29,92.82
2013/12/2,93.9
2013/12/3,96.96
2013/12/4,97.34
2013/12/5,97.4
2013/12/6,97.8
2013/12/9,97.28
2013/12/10,98.66
2013/12/11,97.68
2013/12/12,97.59
2013/12/13,96.4
2013/12/16,97.27
2013/12/17,97.31
2013/12/18,97.77
2013/12/19,98.65
2013/12/20,99.31
2013/12/23,98.71
2013/12/24,98.95
2013/12/26,99.59
2013/12/27,100.14
2013/12/30,99.33
2013/12/31,98.49
2014/1/2,95.47
2014/1/3,94.27
2014/1/6,93.61
2014/1/7,93.98
2014/1/8,92.59
2014/1/9,92.24
2014/1/10,92.89
2014/1/13,91.5
2014/1/14,92.66
2014/1/15,94.38
2014/1/16,94.05
2014/1/17,94.37
2014/1/20,94.06
2014/1/21,95.26
2014/1/22,96.78
2014/1/23,97.43
2014/1/24,96.87
2014/1/27,95.65
2014/1/28,97.19
2014/1/29,97.43
2014/1/30,98.09
2014/1/31,97.45
2014/2/3,96.55
2014/2/4,97.72
2014/2/5,97.28
2014/2/6,97.91
2014/2/7,100.1
2014/2/10,99.96
2014/2/11,100.4
2014/2/12,100.28
2014/2/13,100.4
2014/2/14,100.37
2014/2/17,100.83
2014/2/18,103.1
2014/2/19,103.32
2014/2/20,102.92
2014/2/21,102.38
2014/2/24,102.83
2014/2/25,101.99
2014/2/26,102.56
2014/2/27,102.1
2014/2/28,102.71
2014/3/3,104.93
2014/3/4,103.3
2014/3/5,101
2014/3/6,101.96
2014/3/7,102.67
2014/3/10,101.02
2014/3/11,99.43
2014/3/12,98.15
2014/3/13,98.22
2014/3/14,99.06
2014/3/17,97.97
2014/3/18,99.55
2014/3/19,100.39
2014/3/20,98.63
2014/3/21,99.7
2014/3/24,99.5
2014/3/25,99.27
2014/3/26,100.3
2014/3/27,101.42
2014/3/28,101.46
2014/3/31,101.5
2014/4/1,99.75
2014/4/2,99.36
2014/4/3,100.36
2014/4/4,101.08
2014/4/7,100.73
2014/4/8,102.33
2014/4/9,103.42
2014/4/10,103.36
2014/4/11,103.51
2014/4/14,103.65
2014/4/15,103.74
2014/4/16,103.95
2014/4/17,104.55
2014/4/21,104.31
