update_date,open,high,low,close,amt,volume,position_all
2014/6/13,667.85,667.85,667.85,667.85,52999.07,796200,2613632
2014/6/16,662.25,662.25,662.25,662.25,45464.69,686900,2833028
2014/6/17,669.41,669.41,669.41,669.41,45187.2,680100,2840656
2014/6/18,666.66,666.66,666.66,666.66,36864.5,551500,2810676
2014/6/19,665.29,665.29,665.29,665.29,43937.94,659600,2764666
2014/6/20,677.72,677.72,677.72,677.72,81933.54,1216200,2716158
2014/6/23,690.18,690.18,690.18,690.18,76701.3,1111400,2673740
2014/6/24,683,683,683,683,33497.88,489600,2660490
2014/6/25,691.28,691.28,691.28,691.28,48704.28,704700,2607840
2014/6/26,714.3,714.3,714.3,714.3,101528.09,1434300,2593256
2014/6/27,705.03,705.03,705.03,705.03,55658.25,780500,2529642
2014/6/30,693.89,693.89,693.89,693.89,50573.61,723200,2448516
2014/7/1,700.19,700.19,700.19,700.19,49455.26,710400,2455890
2014/7/2,714.85,714.85,714.85,714.85,91293.34,1287900,2516792
2014/7/3,711.14,711.14,711.14,711.14,63817.68,891500,2547388
2014/7/4,709.48,709.48,709.48,709.48,52176.34,732800,2543402
2014/7/7,704.67,704.67,704.67,704.67,81836.74,1164800,2511516
2014/7/8,717,717,717,717,97451.29,1374400,2559864
2014/7/9,698.51,698.51,698.51,698.51,73328.02,1035000,2490080
2014/7/10,703.26,703.26,703.26,703.26,75917.14,1074100,2559816
2014/7/11,709.37,709.37,709.37,709.37,67247.8,951200,2617156
2014/7/14,711.76,711.76,711.76,711.76,56586.09,792600,2721194
2014/7/15,714.08,714.08,714.08,714.08,58188.56,811200,2663308
2014/7/16,714.31,714.31,714.31,714.31,45505.99,635200,2632366
2014/7/17,706.25,706.25,706.25,706.25,40779.8,573600,2508228
2014/7/18,680.73,680.73,680.73,680.73,85321.74,1230100,2450620
2014/7/21,680.73,680.73,680.73,680.73,44396.82,650600,2444836
2014/7/22,677.82,677.82,677.82,677.82,50730.48,746700,2479856
2014/7/23,674.98,674.98,674.98,674.98,44653.2,661700,2433708
2014/7/24,666.37,666.37,666.37,666.37,50597.33,757300,2481776
2014/7/25,672.02,672.02,672.02,672.02,48610.7,725500,2458402
2014/7/28,684.38,684.38,684.38,684.38,57199.31,842300,2495896
2014/7/29,686.44,686.44,686.44,686.44,35327.71,514800,2640568
2014/7/30,679.19,679.19,679.19,679.19,38645.47,569200,2574170
2014/7/31,682.05,682.05,682.05,682.05,33361.81,491100,2568170
2014/8/1,674.78,674.78,674.78,674.78,47664.83,705900,2479072
2014/8/4,686.24,686.24,686.24,686.24,50456.43,744800,2580268
2014/8/5,684.59,684.59,684.59,684.59,54529.28,795300,2602148
2014/8/6,680.25,680.25,680.25,680.25,45590.51,669100,2705616
2014/8/7,678.62,678.62,678.62,678.62,43548.02,637500,2710232
2014/8/8,675.61,675.61,675.61,675.61,46721.14,693800,2659940
2014/8/11,671.46,671.46,671.46,671.46,39198.78,581400,2757546
2014/8/12,668,668,668,668,0,512400,2690068
2014/8/13,661.79,661.79,661.79,661.79,0,876600,2815442
2014/8/14,653.02,653.02,653.02,653.02,0,777100,2807956
2014/8/15,665.37,665.37,665.37,665.37,0,664100,2872484
2014/8/18,649.8,649.8,649.8,649.8,0,915000,3015492
2014/8/19,653.76,653.76,653.76,653.76,0,514000,3047264
2014/8/20,651.96,656.52,644.82,645.72,0,647900,3208130
2014/8/21,646.76,648.51,643.75,646.38,0,440300,3282100
2014/8/22,645.57,650.49,641.6,642.81,0,551500,3252216
2014/8/25,641.85,646.17,638.33,644.24,0,618100,3156384
2014/8/26,647.17,649.38,641.2,647.36,0,425400,3184546
2014/8/27,648.37,648.37,635.3,636.61,0,678100,3223782
2014/8/28,625.99,625.99,625.99,625.99,0,1309000,3269226
2014/8/29,625.92,631.1,624.21,627.2,0,734200,3139116
2014/9/1,626.43,627.26,617.42,619.29,0,786300,3131672
2014/9/2,619.33,631.79,617.45,627.39,0,1052000,3346014
2014/9/3,625.54,625.57,602.79,604.78,0,1280100,3596184
2014/9/4,604.74,608.76,593.98,593.98,0,1097900,3606314
2014/9/5,594.58,596.57,583.72,584.71,0,1127500,3558304
2014/9/9,589.27,592.29,583.06,583.82,0,689800,3578474
2014/9/10,582.05,593.81,568.28,588.74,0,1450600,3566558
2014/9/11,586.23,587.82,577.19,583.85,0,928600,3618880
2014/9/12,586.13,590.24,583.29,588.82,0,695600,3534468
2014/9/15,595.94,601.47,586.96,596.78,0,1261600,3464098
2014/9/16,598.18,601.9,589.16,596.68,0,1127500,3490138
2014/9/17,596.11,596.11,596.11,596.11,0,962300,3521700
2014/9/18,594.8,594.81,589.09,589.77,0,598200,3636966
2014/9/19,586.09,586.09,572.21,574.45,0,947400,3919140
2014/9/22,571.01,571.01,554.13,554.13,0,1281100,3992354
2014/9/23,550.93,557.02,550.13,557.02,0,1290200,3798302
2014/9/24,555.34,563.75,554.38,558.65,0,720100,3828414
2014/9/25,558.63,560.64,546.36,548.27,0,1400700,4032592
2014/9/26,546.08,559.51,545.28,554.52,0,1440800,3780550
2014/9/29,553.38,556.7,531.29,534.28,0,1346700,3811960
2014/9/30,535.3,543.87,535.3,539.91,0,628200,3580660
2014/10/8,548.22,548.22,531.22,534.63,0,663500,3817656
2014/10/9,535.27,548.42,534.5,548.05,0,1305600,3986820
2014/10/10,544.98,557.45,539.54,555.64,0,1361000,3852146
2014/10/13,561.47,570.6,561.47,569.91,0,1036600,3814508
2014/10/14,571.76,575.87,567.56,573.36,0,1100700,3840064
2014/10/15,574.32,575.2,563.01,564.23,0,1439700,3744374
2014/10/16,555.24,556.98,545.89,545.89,0,1538900,3613012
2014/10/17,548.38,553.91,546.2,551.89,0,1049500,3682372
2014/10/20,552.38,564.23,552.38,561.84,0,1284800,3771458
2014/10/21,560.6,568.23,558.12,559.61,0,1171500,3956730
2014/10/22,562.16,562.18,550.57,551.62,0,1322600,4240920
2014/10/23,549.48,549.48,535.73,543.51,0,2186900,4273088
2014/10/24,541.17,547.74,536.86,543.9,0,1395100,4275476
2014/10/27,542.65,544.65,535.05,537.42,0,1034400,4272452
2014/10/28,536.71,536.71,531.51,533.44,0,716300,4316884
2014/10/29,534.66,537.29,531.4,536.01,0,827700,4216798
2014/10/30,536.61,547.31,534.6,542.6,0,1507900,4044080
2014/10/31,540.54,542.57,536.05,538.53,0,946200,4000258
2014/11/3,536.01,538.28,526.16,526.46,0,1248700,4042156
2014/11/4,522.61,530.13,518.49,524.99,0,1415300,3963092
2014/11/5,522.59,529.57,515,516,0,1470800,4118544
2014/11/6,516.8,518.1,507.41,510.45,0,1170800,4078956
