,update_date,open,high,low,close,volume,Date,volume,invest_signal,return_rate
2016-03-11,2016-03-11 09:05:00,14028.69,14031.29,14005.68,14019.59,9210.0,2016-03-11 00:00:00,545300,1.0,0.0104733863631
2016-03-14,2016-03-14 09:05:00,14176.39,14177.92,14137.96,14137.96,15890.0,2016-03-14 00:00:00,623300,1.0,-0.00515774741915
2016-03-15,2016-03-15 09:05:00,14103.46,14105.61,14070.64,14071.14,10156.0,2016-03-15 00:00:00,535700,1.0,-0.0126209129841
2016-03-16,2016-03-16 09:05:00,13926.58,13942.92,13914.71,13922.22,10744.0,2016-03-16 00:00:00,626300,1.0,0.0125528422643
2016-03-17,2016-03-17 09:05:00,14102.5,14139.06,14102.5,14118.57,17884.0,2016-03-17 00:00:00,500200,1.0,0.024459276105
2016-03-18,2016-03-18 09:05:00,14451.69,14480.64,14420.22,14461.71,18568.0,2016-03-18 00:00:00,803300,1.0,-0.00514966025998
2016-03-21,2016-03-21 09:05:00,14377.46,14412.28,14369.76,14371.91,10976.0,2016-03-21 00:00:00,596600,1.0,0.0101083903201
2016-03-22,2016-03-22 09:05:00,14523.53,14523.53,14480.36,14484.29,13054.0,2016-03-22 00:00:00,535900,0.5,-0.0185515382723
2016-03-25,2016-03-25 09:05:00,14198.24,14204.36,14175.69,14204.36,5640.0,2016-03-25 00:00:00,252200,0.5,0.0077224740992
2016-03-28,2016-03-28 09:05:00,14308.31,14318.86,14236.37,14251.49,11826.0,2016-03-28 00:00:00,239400,1.0,0.00148893418582
2016-03-29,2016-03-29 09:05:00,14329.63,14333.02,14301.63,14311.44,5730.0,2016-03-29 00:00:00,291700,1.0,-0.00616075799048
2016-03-30,2016-03-30 09:05:00,14241.62,14248.37,14209.43,14209.43,8408.0,2016-03-30 00:00:00,327000,1.0,-0.00548701602074
2016-03-31,2016-03-31 09:05:00,14163.69,14163.69,14141.29,14146.84,9584.0,2016-03-31 00:00:00,339600,1.0,0.00923937089897
2016-04-01,2016-04-01 09:05:00,14295.16,14320.51,14295.16,14318.15,8464.0,2016-04-01 00:00:00,416900,1.0,0.0117500816392
