,DCE豆一,,,,,
,A.DCE,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,涨跌幅
Date,open,high,low,close,volume,pct_chg
2017-01-13,4115.0000,4194.0000,4100.0000,4147.0000,322058.0000,0.1207
2017-01-16,4143.0000,4252.0000,4128.0000,4232.0000,330776.0000,2.0005
2017-01-17,4232.0000,4278.0000,4200.0000,4230.0000,266598.0000,0.7863
2017-01-18,4242.0000,4282.0000,4206.0000,4264.0000,258896.0000,0.5186
2017-01-19,4259.0000,4306.0000,4237.0000,4287.0000,328396.0000,1.0370
2017-01-20,4292.0000,4292.0000,4217.0000,4219.0000,177472.0000,-1.2637
2017-01-23,4221.0000,4254.0000,4164.0000,4182.0000,213350.0000,-1.6925
2017-01-24,4192.0000,4240.0000,4175.0000,4214.0000,150058.0000,0.3572
2017-01-25,4214.0000,4224.0000,4164.0000,4191.0000,165648.0000,-0.4277
2017-01-26,4208.0000,4246.0000,4184.0000,4238.0000,149104.0000,1.0010
2017-02-03,4220.0000,4332.0000,4206.0000,4315.0000,212938.0000,2.2512
2017-02-06,4319.0000,4371.0000,4288.0000,4359.0000,254668.0000,1.4429
2017-02-07,4353.0000,4367.0000,4326.0000,4349.0000,172980.0000,0.4388
2017-02-08,4347.0000,4391.0000,4326.0000,4343.0000,268570.0000,-0.0460
2017-02-09,4343.0000,4375.0000,4322.0000,4322.0000,201800.0000,-0.8488
2017-02-10,4322.0000,4353.0000,4303.0000,4338.0000,164532.0000,-0.2759
2017-02-13,4334.0000,4403.0000,4312.0000,4333.0000,273856.0000,0.0462
2017-02-14,4330.0000,4436.0000,4323.0000,4352.0000,481990.0000,0.0690
2017-02-15,4366.0000,4376.0000,4274.0000,4283.0000,277688.0000,-2.3484
2017-02-16,4281.0000,4328.0000,4265.0000,4279.0000,208902.0000,-0.6270
2017-02-17,4285.0000,4304.0000,4212.0000,4230.0000,255552.0000,-1.5363
2017-02-20,4230.0000,4251.0000,4214.0000,4236.0000,130384.0000,-0.3997
2017-02-21,4234.0000,4287.0000,4226.0000,4261.0000,177294.0000,0.6139
2017-02-22,4250.0000,4270.0000,4187.0000,4198.0000,196078.0000,-1.3860
2017-02-23,4200.0000,4234.0000,4169.0000,4180.0000,177450.0000,-0.9244
2017-02-24,4194.0000,4194.0000,4094.0000,4135.0000,218530.0000,-1.6647
2017-02-27,4128.0000,4155.0000,4084.0000,4125.0000,229232.0000,-0.1452
2017-02-28,4130.0000,4175.0000,4111.0000,4119.0000,242666.0000,0.0000
2017-03-01,4122.0000,4173.0000,4116.0000,4129.0000,228870.0000,-0.3379
2017-03-02,4131.0000,4136.0000,4095.0000,4107.0000,246010.0000,-0.8211
2017-03-03,4100.0000,4103.0000,3991.0000,4038.0000,270680.0000,-1.8474
2017-03-06,4038.0000,4046.0000,4010.0000,4023.0000,210618.0000,-0.4208
2017-03-07,4023.0000,4037.0000,3977.0000,3988.0000,243624.0000,-0.9439
2017-03-08,3988.0000,4032.0000,3967.0000,4023.0000,295622.0000,0.3993
