update_date,open,high,low,close,volume,position_all
2011-12-05,15855.00 ,15950.00 ,15650.00 ,15715.00 ,222364.00 ,172566.00 
2011-12-06,15565.00 ,15695.00 ,15545.00 ,15670.00 ,181232.00 ,164136.00 
2011-12-07,15765.00 ,15850.00 ,15660.00 ,15815.00 ,158164.00 ,156756.00 
2011-12-08,15730.00 ,15890.00 ,15640.00 ,15775.00 ,179630.00 ,149876.00 
2011-12-09,15535.00 ,15685.00 ,15530.00 ,15650.00 ,162966.00 ,149424.00 
2011-12-12,15730.00 ,15755.00 ,15505.00 ,15575.00 ,159190.00 ,144640.00 
2011-12-13,15370.00 ,15440.00 ,15340.00 ,15355.00 ,119228.00 ,142334.00 
2011-12-14,15210.00 ,15245.00 ,14965.00 ,14980.00 ,195216.00 ,152550.00 
2011-12-15,14520.00 ,14915.00 ,14520.00 ,14715.00 ,279086.00 ,167246.00 
2011-12-16,14780.00 ,14960.00 ,14750.00 ,14950.00 ,161432.00 ,178564.00 
2011-12-19,14860.00 ,14895.00 ,14650.00 ,14785.00 ,295836.00 ,190276.00 
2011-12-20,14800.00 ,14845.00 ,14700.00 ,14780.00 ,179620.00 ,193498.00 
2011-12-21,14940.00 ,14990.00 ,14855.00 ,14900.00 ,167622.00 ,189428.00 
2011-12-22,14845.00 ,14900.00 ,14730.00 ,14865.00 ,213354.00 ,197048.00 
2011-12-23,14870.00 ,15045.00 ,14850.00 ,15000.00 ,220724.00 ,201872.00 
2011-12-26,14970.00 ,14980.00 ,14555.00 ,14640.00 ,369294.00 ,262970.00 
2011-12-27,14600.00 ,14765.00 ,14585.00 ,14710.00 ,249160.00 ,236594.00 
2011-12-28,14710.00 ,14795.00 ,14635.00 ,14755.00 ,190918.00 ,227400.00 
2011-12-29,14460.00 ,14625.00 ,14455.00 ,14575.00 ,190856.00 ,236724.00 
2011-12-30,14670.00 ,14825.00 ,14650.00 ,14795.00 ,196914.00 ,210060.00 
2012-01-04,14945.00 ,14950.00 ,14755.00 ,14775.00 ,161098.00 ,206568.00 
2012-01-05,14755.00 ,14905.00 ,14735.00 ,14865.00 ,164172.00 ,201276.00 
2012-01-06,14750.00 ,14825.00 ,14605.00 ,14730.00 ,285768.00 ,225838.00 
2012-01-09,14700.00 ,14770.00 ,14575.00 ,14740.00 ,214864.00 ,213386.00 
2012-01-10,14790.00 ,14980.00 ,14740.00 ,14920.00 ,175732.00 ,202486.00 
2012-01-11,15065.00 ,15105.00 ,14980.00 ,15080.00 ,154246.00 ,187656.00 
2012-01-12,15100.00 ,15225.00 ,14955.00 ,15185.00 ,178202.00 ,166672.00 
2012-01-13,15265.00 ,15320.00 ,15160.00 ,15290.00 ,116710.00 ,143222.00 
2012-01-16,15220.00 ,15370.00 ,15100.00 ,15310.00 ,195428.00 ,159172.00 
2012-01-17,15325.00 ,15610.00 ,15270.00 ,15525.00 ,291798.00 ,166468.00 
2012-01-18,15530.00 ,15590.00 ,15475.00 ,15505.00 ,155846.00 ,163906.00 
2012-01-19,15570.00 ,15720.00 ,15550.00 ,15660.00 ,149958.00 ,150896.00 
2012-01-20,15725.00 ,15900.00 ,15645.00 ,15855.00 ,140048.00 ,147966.00 
