category_buy,buy_sum,buy_chg,category_sell,sell_sum,update_date
期货公司  ,64423,-3806,期货公司  ,55654,2016-11-04
非期货公司,2200,0,非期货公司,10969,2016-11-04
期货公司  ,101118,5726,期货公司  ,89728,2016-11-04
非期货公司,800,0,非期货公司,12190,2016-11-04
期货公司  ,76881,372,期货公司  ,70299,2016-11-04
非期货公司,900,0,非期货公司,7482,2016-11-04
期货公司  ,37541,1142,期货公司  ,33023,2016-11-04
非期货公司,0,0,非期货公司,4518,2016-11-04
期货公司  ,18393,176,期货公司  ,17163,2016-11-04
非期货公司,0,0,非期货公司,1230,2016-11-04
期货公司  ,28159,940,期货公司  ,28159,2016-11-04
非期货公司,0,0,非期货公司,0,2016-11-04
期货公司  ,340310,3355,期货公司  ,307401,2016-11-04
非期货公司,4400,0,非期货公司,37309,2016-11-04
期货公司  ,12830,-965,期货公司  ,12450,2016-11-07
非期货公司,500,0,非期货公司,880,2016-11-07
期货公司  ,58645,-5778,期货公司  ,49976,2016-11-07
非期货公司,2200,0,非期货公司,10869,2016-11-07
期货公司  ,101760,642,期货公司  ,90170,2016-11-07
非期货公司,700,-100,非期货公司,12290,2016-11-07
期货公司  ,82249,5368,期货公司  ,75667,2016-11-07
非期货公司,900,0,非期货公司,7482,2016-11-07
期货公司  ,37989,448,期货公司  ,33471,2016-11-07
非期货公司,0,0,非期货公司,4518,2016-11-07
期货公司  ,18610,217,期货公司  ,17380,2016-11-07
非期货公司,0,0,非期货公司,1230,2016-11-07
期货公司  ,28794,635,期货公司  ,28794,2016-11-07
非期货公司,0,0,非期货公司,0,2016-11-07
期货公司  ,340877,567,期货公司  ,307908,2016-11-07
非期货公司,4300,-100,非期货公司,37269,2016-11-07
期货公司  ,12040,-790,期货公司  ,11905,2016-11-08
非期货公司,460,-40,非期货公司,595,2016-11-08
期货公司  ,58107,-538,期货公司  ,49438,2016-11-08
非期货公司,2200,0,非期货公司,10869,2016-11-08
期货公司  ,105282,3522,期货公司  ,93692,2016-11-08
非期货公司,700,0,非期货公司,12290,2016-11-08
期货公司  ,83731,1482,期货公司  ,77149,2016-11-08
非期货公司,900,0,非期货公司,7482,2016-11-08
期货公司  ,39264,1275,期货公司  ,34746,2016-11-08
非期货公司,0,0,非期货公司,4518,2016-11-08
期货公司  ,18910,300,期货公司  ,17680,2016-11-08
非期货公司,0,0,非期货公司,1230,2016-11-08
期货公司  ,29692,898,期货公司  ,29692,2016-11-08
非期货公司,0,0,非期货公司,0,2016-11-08
期货公司  ,347026,6149,期货公司  ,314302,2016-11-08
非期货公司,4260,-40,非期货公司,36984,2016-11-08
期货公司  ,10500,-1540,期货公司  ,9965,2016-11-09
非期货公司,20,-440,非期货公司,555,2016-11-09
期货公司  ,55642,-2465,期货公司  ,47073,2016-11-09
非期货公司,2200,0,非期货公司,10769,2016-11-09
期货公司  ,107618,2336,期货公司  ,95928,2016-11-09
非期货公司,700,0,非期货公司,12390,2016-11-09
期货公司  ,86587,2856,期货公司  ,79671,2016-11-09
非期货公司,900,0,非期货公司,7816,2016-11-09
期货公司  ,40632,1368,期货公司  ,36114,2016-11-09
非期货公司,0,0,非期货公司,4518,2016-11-09
期货公司  ,19177,267,期货公司  ,17947,2016-11-09
非期货公司,0,0,非期货公司,1230,2016-11-09
期货公司  ,30304,612,期货公司  ,30304,2016-11-09
非期货公司,0,0,非期货公司,0,2016-11-09
期货公司  ,350460,3434,期货公司  ,317002,2016-11-09
非期货公司,3820,-440,非期货公司,37278,2016-11-09
期货公司  ,8945,-1555,期货公司  ,8560,2016-11-10
非期货公司,0,-20,非期货公司,385,2016-11-10
期货公司  ,50906,-4736,期货公司  ,42337,2016-11-10
非期货公司,2200,0,非期货公司,10769,2016-11-10
期货公司  ,120037,12419,期货公司  ,107727,2016-11-10
非期货公司,700,0,非期货公司,13010,2016-11-10
期货公司  ,93536,6949,期货公司  ,84420,2016-11-10
非期货公司,900,0,非期货公司,10016,2016-11-10
期货公司  ,45174,4542,期货公司  ,39856,2016-11-10
非期货公司,0,0,非期货公司,5318,2016-11-10
期货公司  ,19841,664,期货公司  ,18611,2016-11-10
非期货公司,0,0,非期货公司,1230,2016-11-10
期货公司  ,30981,677,期货公司  ,30981,2016-11-10
非期货公司,0,0,非期货公司,0,2016-11-10
期货公司  ,369420,18960,期货公司  ,332492,2016-11-10
非期货公司,3800,-20,非期货公司,40728,2016-11-10
期货公司  ,7455,-1490,期货公司  ,7295,2016-11-11
非期货公司,0,0,非期货公司,160,2016-11-11
期货公司  ,50083,-823,期货公司  ,41884,2016-11-11
非期货公司,2200,0,非期货公司,10399,2016-11-11
期货公司  ,113764,-6273,期货公司  ,101254,2016-11-11
非期货公司,700,0,非期货公司,13210,2016-11-11
期货公司  ,93398,-138,期货公司  ,83682,2016-11-11
非期货公司,700,-200,非期货公司,10416,2016-11-11
期货公司  ,45143,-31,期货公司  ,39700,2016-11-11
非期货公司,0,0,非期货公司,5443,2016-11-11
期货公司  ,20788,947,期货公司  ,19433,2016-11-11
非期货公司,0,0,非期货公司,1355,2016-11-11
期货公司  ,31510,529,期货公司  ,31510,2016-11-11
非期货公司,0,0,非期货公司,0,2016-11-11
期货公司  ,362141,-7279,期货公司  ,324758,2016-11-11
非期货公司,3600,-200,非期货公司,40983,2016-11-11
期货公司  ,4600,-2855,期货公司  ,4600,2016-11-14
非期货公司,0,0,非期货公司,0,2016-11-14
期货公司  ,44248,-5835,期货公司  ,37769,2016-11-14
非期货公司,2200,0,非期货公司,8679,2016-11-14
期货公司  ,110594,-3170,期货公司  ,97924,2016-11-14
非期货公司,600,-100,非期货公司,13270,2016-11-14
期货公司  ,92629,-769,期货公司  ,82913,2016-11-14
非期货公司,700,0,非期货公司,10416,2016-11-14
期货公司  ,45409,266,期货公司  ,39966,2016-11-14
非期货公司,0,0,非期货公司,5443,2016-11-14
期货公司  ,21748,960,期货公司  ,19993,2016-11-14
非期货公司,0,0,非期货公司,1755,2016-11-14
期货公司  ,30557,-953,期货公司  ,30157,2016-11-14
非期货公司,0,0,非期货公司,400,2016-11-14
期货公司  ,349785,-12356,期货公司  ,313322,2016-11-14
非期货公司,3500,-100,非期货公司,39963,2016-11-14
期货公司  ,2590,-2010,期货公司  ,2590,2016-11-15
非期货公司,0,0,非期货公司,0,2016-11-15
期货公司  ,39492,-4756,期货公司  ,36475,2016-11-15
非期货公司,2200,0,非期货公司,5217,2016-11-15
期货公司  ,108248,-2346,期货公司  ,96178,2016-11-15
非期货公司,800,200,非期货公司,12870,2016-11-15
