Date,PX_LAST,FUT_AGGTE_OPEN_INT
2014/8/15,312.45,150955
2014/8/14,311.25,154013
2014/8/13,313.25,155236
2014/8/12,317.15,153657
2014/8/11,317.45,154622
2014/8/8,317.35,156523
2014/8/7,317.6,161267
2014/8/6,316.6,166478
2014/8/5,320.45,171323
2014/8/4,324.4,174253
2014/8/1,321.45,169832
2014/7/31,323.1,171689
2014/7/30,324.15,173207
2014/7/29,321.9,175017
2014/7/28,324.35,177053
2014/7/25,324.05,177610
2014/7/24,326.65,180179
2014/7/23,320.7,178254
2014/7/22,320.8,180479
2014/7/21,319.9,178178
2014/7/18,318.45,177533
2014/7/17,322.05,180953
2014/7/16,321.45,177824
2014/7/15,324.95,179412
2014/7/14,324.9,176161
2014/7/11,326.9,173946
2014/7/10,326.7,171087
2014/7/9,324.8,165646
2014/7/8,325.7,161048
2014/7/7,326.1,159857
2014/7/3,327.95,155117
2014/7/2,326.5,154138
2014/7/1,320.4,146243
2014/6/30,320.35,144604
2014/6/27,316.8,141119
2014/6/26,317.2,140700
2014/6/25,316.6,142592
2014/6/24,314.5,142413
2014/6/23,314.2,144120
2014/6/20,311.3,145733
2014/6/19,307.55,147057
2014/6/18,306.1,149923
2014/6/17,305.8,151523
2014/6/16,304.4,151303
2014/6/13,302.75,154279
2014/6/12,301.55,156378
2014/6/11,304.05,153249
2014/6/10,305.3,147453
2014/6/9,304.35,147498
2014/6/6,305.1,150907
2014/6/5,309.05,153086
2014/6/4,309.3,153692
2014/6/3,313.7,151783
2014/6/2,317.05,154999
2014/5/30,312.35,152725
2014/5/29,314.45,152675
2014/5/28,317.35,155040
2014/5/27,317.75,153499
2014/5/23,316.75,151659
2014/5/22,314.2,150925
2014/5/21,312.3,149060
2014/5/20,314.5,150346
2014/5/19,316.7,150828
2014/5/16,314.7,149965
2014/5/15,314.45,150507
2014/5/14,316,151254
2014/5/13,313.55,151610
2014/5/12,314.95,151126
2014/5/9,308.3,146827
2014/5/8,306.25,144451
2014/5/7,303.25,142841
2014/5/6,305.7,142069
2014/5/5,305.35,141383
2014/5/2,307,140693
2014/5/1,302.15,140090
2014/4/30,302.75,141046
2014/4/29,307.3,138987
2014/4/28,309.3,138909
2014/4/25,309.3,142221
2014/4/24,308.8,144540
2014/4/23,303.95,150113
2014/4/22,303.4,152890
2014/4/21,302.85,154893
2014/4/17,303.4,156681
2014/4/16,301.55,157639
2014/4/15,298.3,164022
2014/4/14,303.65,162117
